date,open,high,low,ltp,percent_change,qty,turnover
2026-08-12,300.0,345.0,300.0,345.0,15.0,150,49524.0
2026-08-13,355.3,396.7,355.3,396.7,14.99,220,85853.0
2026-08-14,400.0,456.2,400.0,456.2,15.0,220,97664.0
2026-08-18,540.3,603.2,540.3,603.2,14.98,970,583577.0
2026-08-17,435.0,524.6,435.0,524.6,14.99,460,238403.0
2026-08-20,728.2,797.6,728.2,797.6,14.99,28980,23097581.0
2026-08-19,633.0,693.6,633.0,693.6,14.99,2880,1996302.0
2026-08-21,837.4,855.0,752.0,774.0,-2.96,130560,102270420.0
2026-08-24,774.0,774.0,704.1,713.9,-7.76,76385,55903196.6
2026-08-27,661.2,681.5,645.1,675.0,1.35,28463,18754995.7
2026-08-26,700.0,700.0,661.2,666.0,-4.72,34433,23224945.6
2026-08-25,700.1,731.0,681.5,699.0,-2.09,42665,29948667.6
2026-08-31,675.0,675.0,620.1,630.0,-6.67,34393,21985929.0
2026-09-03,618.4,660.0,611.1,660.0,6.45,24744,15734258.5
2026-09-02,581.4,630.0,581.4,620.0,1.32,18518,11453092.8
2026-09-01,616.0,637.9,601.1,611.9,-2.87,32574,20076513.7
