date,current,point_change,percent_change,turnover
2011-03-28,518.88,-6.23,-1.19,0.00
2011-03-29,512.81,-6.07,-1.17,0.00
2011-04-04,506.84,-5.97,-1.16,0.00
2011-04-18,499.16,-2.60,-0.52,0.00
2011-04-19,500.59,1.43,0.29,0.00
2011-04-26,507.83,1.53,0.30,0.00
2011-04-27,509.88,2.05,0.40,0.00
2011-05-31,498.46,-5.71,-1.13,0.00
2011-06-08,490.54,-2.37,-0.48,0.00
2011-06-09,486.84,-3.70,-0.75,0.00
2011-06-13,488.41,1.76,0.36,0.00
2011-06-14,485.03,-3.38,-0.69,0.00
2011-06-15,496.13,11.10,2.29,0.00
2011-06-16,501.79,5.66,1.14,0.00
2011-06-20,516.14,9.41,1.86,0.00
2011-06-21,518.23,2.09,0.41,0.00
2011-06-23,526.03,7.80,1.51,0.00
2011-06-27,544.70,7.80,1.45,0.00
2011-06-29,557.23,12.53,2.30,0.00
2011-07-04,580.17,2.19,0.38,0.00
2011-07-05,574.70,3.56,0.62,0.00
2011-07-06,574.45,-0.25,-0.04,0.00
2011-07-07,569.52,-4.93,-0.86,0.00
2011-07-11,607.23,20.79,3.54,0.00
2011-07-13,603.16,-4.07,-0.67,0.00
2011-07-14,591.52,-11.64,-1.93,0.00
2011-08-04,587.23,-0.11,-0.02,0.00
2011-08-16,587.23,0.00,0.00,0.00
2011-08-30,587.23,0.00,0.00,0.00
2011-09-07,592.16,4.93,0.84,0.00
2011-09-08,607.58,5.25,0.87,0.00
2011-09-19,607.47,-5.45,-0.89,0.00
2011-10-24,607.47,0.00,0.00,0.00
2011-10-25,607.47,0.00,0.00,0.00
2011-10-31,607.25,0.23,0.04,0.00
2011-11-03,607.48,,,
2011-11-08,607.02,-0.46,-0.08,0.00
2011-11-10,607.48,,,
2011-11-16,634.31,,,
2011-11-17,634.31,0.00,0.00,0.00
2011-11-21,640.18,,,
2011-11-22,646.19,6.01,0.94,0.00
2011-12-07,646.94,0.98,0.15,0.00
2011-12-13,653.07,6.13,0.95,0.00
