date,current,point_change,percent_change,turnover
2019-05-13,10.02,0.10,1.01,326230.00
2019-05-14,10.12,0.10,1.00,933407.00
2019-05-15,10.08,-0.04,-0.40,2025380.00
2019-05-16,10.09,0.01,0.10,1322850.00
2019-05-20,9.93,-0.19,-1.88,1664870.00
2019-05-21,9.98,0.05,0.50,2614620.00
2019-05-22,9.78,-0.20,-2.00,1125890.00
2019-05-23,9.80,0.02,0.20,824864.00
2019-05-27,9.69,-0.09,-0.92,1780660.00
2019-05-28,9.86,0.17,1.75,1071340.00
2019-05-29,9.90,0.04,-0.41,1462880.00
2019-05-30,9.97,0.07,0.71,3407150.00
2019-06-03,9.83,-0.14,-1.40,1160210.00
2019-06-04,9.80,-0.03,-0.31,1330830.00
2019-06-06,9.81,0.01,0.10,682552.00
2019-06-10,9.88,0.07,0.71,1239490.00
2019-06-11,9.88,0.00,0.00,371856.00
2019-06-12,9.73,-0.15,-1.52,1083220.00
2019-06-13,9.73,0.00,0.00,206943.00
2019-06-17,9.70,0.01,0.10,1252100.00
2019-06-18,9.62,-0.08,-0.82,1489610.00
2019-06-19,9.59,-0.03,-0.31,525326.00
2019-06-20,9.61,0.02,0.21,1083820.00
2019-06-24,9.61,-0.03,-0.31,1133740.00
2019-06-25,9.60,-0.01,-0.10,490906.00
2019-06-26,9.62,0.02,0.21,405248.00
2019-06-27,9.61,-0.01,-0.10,776254.00
2019-07-01,9.51,-0.07,-0.73,846900.00
2019-07-02,9.59,0.08,0.84,432264.00
2019-07-03,9.65,0.06,0.63,801122.00
2019-07-04,9.62,-0.03,-0.31,72932800.00
2019-07-08,9.68,0.05,0.52,4636810.00
2019-07-09,9.67,-0.01,-0.10,476321.00
2019-07-10,9.56,-0.11,-1.14,920010.00
2019-07-11,9.49,-0.07,-0.73,1692250.00
2019-07-15,9.65,0.13,1.37,18716000.00
2019-07-16,10.13,0.48,4.97,9707520.00
2019-07-17,10.13,0.00,0.00,684038.00
2019-07-18,10.12,-0.01,-0.10,756216.00
2019-07-22,9.90,-0.19,-1.88,1571350.00
2019-07-23,9.91,0.01,0.10,3350360.00
2019-07-24,10.00,0.09,0.91,698411.00
2019-07-25,9.89,-0.11,-1.10,4625990.00
2019-07-29,10.05,0.00,0.00,2158620.00
2019-07-30,10.03,-0.02,-0.20,1060680.00
2019-07-31,10.11,0.08,0.80,2573440.00
2019-08-01,10.08,-0.03,-0.30,5332140.00
2019-08-05,10.09,0.11,1.10,2558100.00
2019-08-06,10.00,-0.09,-0.89,1754730.00
2019-08-07,9.96,-0.04,-0.40,871677.00
2019-08-08,9.94,-0.02,-0.20,1408860.00
2019-08-12,10.00,0.04,0.40,7026490.00
