date,current,point_change,percent_change,turnover
2011-03-25,452.72,-1.13,-0.25,0.00
2011-03-28,449.52,-0.94,-0.21,0.00
2011-03-31,437.09,-3.39,-0.77,0.00
2011-04-11,435.96,-1.13,-0.26,0.00
2011-05-10,429.75,-4.52,-1.04,0.00
2011-05-12,425.23,-4.52,-1.05,0.00
2011-05-16,416.19,-4.52,-1.08,0.00
2011-05-18,415.05,-1.14,-0.27,0.00
2011-05-24,400.36,-14.69,-3.54,0.00
2011-05-25,402.06,1.70,0.42,0.00
2011-06-06,398.66,-3.40,-0.84,0.00
2011-06-08,402.06,3.40,0.85,0.00
2011-06-09,405.45,3.39,0.84,0.00
2011-06-13,402.06,-2.26,-0.56,0.00
2011-06-14,402.62,0.56,0.14,0.00
2011-06-16,400.35,-2.27,-0.56,0.00
2011-06-27,402.42,3.39,0.85,0.00
2011-06-30,402.42,0.00,0.00,0.00
2011-07-06,409.20,3.39,0.83,0.00
2011-07-07,405.81,-3.39,-0.83,0.00
2011-07-11,412.59,3.39,0.83,0.00
2011-07-13,412.59,0.00,0.00,0.00
2011-07-14,412.59,0.00,0.00,0.00
2011-07-26,407.69,-0.38,-0.09,0.00
2011-07-28,407.31,-0.38,-0.09,0.00
2011-08-01,405.05,-4.52,-1.10,0.00
2011-08-02,405.05,0.00,0.00,0.00
2011-08-03,405.05,0.00,0.00,0.00
2011-08-09,404.66,1.12,0.28,0.00
2011-08-17,404.29,-0.37,-0.09,0.00
2011-08-18,387.89,-16.40,-4.06,0.00
2011-08-22,387.14,-0.75,-0.19,0.00
2011-08-23,387.70,0.56,0.15,0.00
2011-08-24,388.07,0.37,0.10,0.00
2011-08-25,388.27,0.20,0.05,0.00
2011-08-29,387.89,0.57,0.15,0.00
2011-08-30,387.32,-0.57,-0.15,0.00
2011-09-08,385.82,-0.37,-0.10,0.00
2011-09-14,385.44,-0.38,-0.10,0.00
2011-09-15,385.82,0.38,0.10,0.00
2011-09-20,381.09,,,
2011-09-21,383.73,-0.76,-0.20,0.00
2011-09-22,383.73,0.00,0.00,0.00
2011-09-26,382.22,-0.38,-0.10,0.00
2011-09-29,381.66,-0.56,-0.15,0.00
2011-10-10,381.66,-0.38,-0.10,0.00
2011-10-17,380.52,-0.38,-0.10,0.00
2011-10-19,378.63,-1.89,-0.50,0.00
2011-10-20,379.01,0.38,0.10,0.00
2011-10-24,379.01,0.76,0.20,0.00
2011-11-08,382.40,3.02,0.80,0.00
2011-11-09,382.96,0.56,0.15,0.00
2011-11-10,382.96,0.00,0.00,0.00
2011-11-15,384.85,,,
2011-11-17,383.35,-1.50,-0.39,0.00
2011-11-21,385.05,1.32,0.34,0.00
2011-11-22,384.48,-0.57,-0.14,0.00
2011-11-23,384.86,0.38,0.10,0.00
2011-11-24,385.24,0.38,0.10,0.00
2011-12-05,398.80,3.01,0.76,0.00
2011-12-07,402.57,3.77,0.95,0.00
2011-12-12,402.12,-0.45,-0.11,0.00
2011-12-15,403.63,0.37,0.09,0.00
2011-12-21,404.20,0.57,0.14,0.00
2011-12-22,404.20,0.38,0.09,0.00
2011-12-28,405.90,0.76,0.19,0.00
2011-12-29,405.90,0.00,0.00,0.00
2012-01-02,404.76,-0.76,-0.19,0.00
2012-01-03,404.76,0.00,0.00,0.00
2012-01-04,406.28,1.14,0.28,0.00
2012-01-17,407.23,0.38,0.09,0.00
2012-01-23,411.30,4.07,0.99,0.00
2012-01-25,410.54,-0.76,-0.19,0.00
2012-01-26,411.30,0.76,0.18,0.00
2012-01-31,410.73,-0.57,-0.14,0.00
2012-02-01,433.79,23.06,5.61,0.00
2012-02-07,433.41,-0.38,-0.09,0.00
2012-02-09,433.03,-0.38,-0.09,0.00
2012-02-21,428.40,-0.56,-0.13,0.00
2012-02-23,427.27,-1.13,-0.26,0.00
2012-02-27,430.39,4.26,1.00,0.00
2012-02-28,430.01,-0.38,-0.09,0.00
2012-02-29,429.44,-0.57,-0.13,0.00
2012-03-05,430.01,0.57,0.13,0.00
2012-03-06,432.72,2.71,0.63,0.00
2012-03-12,433.28,0.56,0.13,0.00
2012-03-15,432.91,-0.37,-0.09,0.00
2012-03-19,432.34,-0.57,-0.13,0.00
2012-03-20,432.91,0.57,0.13,0.00
2012-03-21,438.33,5.42,1.25,0.00
2012-03-27,436.64,-1.69,-0.39,0.00
2012-03-28,435.88,-0.38,-0.09,0.00
2012-04-02,438.82,4.07,0.93,0.00
2012-04-04,438.44,-0.38,-0.09,0.00
2012-04-09,437.31,-1.13,-0.26,0.00
2012-04-19,437.31,0.00,0.00,0.00
2012-05-08,437.69,0.38,0.09,0.00
2012-05-10,437.31,-0.38,-0.09,0.00
2012-05-16,437.31,0.00,0.00,0.00
2012-05-21,442.52,5.58,1.28,0.00
2012-05-22,444.22,1.70,0.38,0.00
2012-05-23,447.05,2.45,0.55,0.00
2012-05-24,447.24,0.19,0.04,0.00
2012-05-29,477.00,29.76,6.65,0.00
2012-05-30,481.34,4.34,0.91,0.00
2012-05-31,503.04,21.70,4.50,0.00
2012-06-04,508.09,-0.56,-0.11,0.00
2012-06-05,508.47,0.38,0.07,0.00
2012-06-06,518.75,11.23,2.21,0.00
