date,current,point_change,percent_change,turnover
2011-03-25,93.00,-0.22,-0.23,0.00
2011-03-28,90.00,-1.87,-2.04,0.00
2011-03-29,88.00,-2.08,-2.32,0.00
2011-03-30,88.00,0.31,0.35,0.00
2011-03-31,90.00,1.46,1.66,0.00
2011-04-04,90.00,-0.09,-0.10,0.00
2011-04-05,90.00,-0.14,-0.15,0.00
2011-04-06,90.00,0.05,0.06,0.00
2011-04-07,90.00,0.31,0.34,0.00
2011-04-11,90.00,-0.50,-0.55,0.00
2011-04-13,92.00,2.12,2.36,0.00
2011-04-18,90.00,-0.56,-0.63,0.00
2011-04-19,89.00,-0.39,-0.43,0.00
2011-04-20,88.00,-0.97,-1.09,0.00
2011-04-21,88.00,-0.61,-0.69,0.00
2011-04-25,87.00,-0.59,-0.67,0.00
2011-04-26,87.00,-0.15,-0.17,0.00
2011-04-27,85.00,-1.80,-2.07,0.00
2011-04-28,85.00,-0.75,-0.88,0.00
2011-05-02,85.00,-0.88,-1.03,0.00
2011-05-03,82.00,-1.42,-1.69,0.00
2011-05-04,82.00,-0.16,-0.19,0.00
2011-05-05,82.00,0.18,0.22,0.00
2011-05-09,83.00,0.09,0.11,0.00
2011-05-10,84.00,0.97,1.17,0.00
2011-05-11,84.00,0.27,0.32,0.00
2011-05-12,85.00,0.57,0.67,0.00
2011-05-16,86.00,0.30,0.35,0.00
2011-05-18,85.00,-0.82,-0.95,0.00
2011-05-19,85.00,-0.37,-0.43,0.00
2011-05-23,84.00,-0.45,-0.53,0.00
2011-05-24,84.00,-0.18,-0.21,0.00
2011-05-25,84.00,0.14,0.17,0.00
2011-05-26,85.00,0.82,0.97,0.00
2011-05-30,85.00,-0.41,-0.48,0.00
2011-05-31,83.00,-1.67,-1.97,0.00
2011-06-01,83.00,-0.21,-0.25,0.00
2011-06-02,82.00,-0.48,-0.58,0.00
2011-06-06,80.00,-1.19,-1.47,0.00
2011-06-07,78.00,-1.53,-1.93,0.00
2011-06-08,76.00,-1.66,-2.12,0.00
2011-06-09,75.00,-1.17,-1.53,0.00
2011-06-13,74.00,-0.69,-0.93,0.00
2011-06-14,73.00,-1.16,-1.57,0.00
2011-06-15,71.00,-1.56,-2.14,0.00
2011-06-16,74.00,3.08,4.33,0.00
2011-06-20,81.00,3.03,3.88,0.00
2011-06-21,85.00,3.53,4.35,0.00
2011-06-23,90.00,5.18,6.11,0.00
2011-06-27,80.00,-4.75,-5.59,0.00
2011-06-29,81.00,0.97,1.21,0.00
2011-06-30,82.00,1.06,1.31,0.00
2011-07-04,82.00,0.39,0.48,0.00
2011-07-05,84.00,1.90,2.33,0.00
2011-07-06,84.00,0.72,0.86,0.00
2011-07-07,83.00,-1.10,-1.30,0.00
2011-07-11,84.00,-0.20,-0.23,0.00
2011-07-12,86.00,1.55,1.83,0.00
2011-07-13,87.00,1.09,1.26,0.00
2011-07-14,89.00,1.66,1.91,0.00
2011-07-18,91.00,-2.34,-2.52,0.00
2011-07-19,92.00,1.20,1.33,0.00
2011-07-20,93.00,1.63,1.78,0.00
2011-07-21,93.00,-0.75,-0.80,0.00
2011-07-25,89.00,-1.16,-1.29,0.00
2011-07-26,88.00,-0.78,-0.88,0.00
2011-07-27,90.00,1.78,2.03,0.00
2011-07-28,89.00,-0.68,-0.76,0.00
2011-08-01,88.00,-0.27,-0.31,0.00
2011-08-02,88.00,-0.14,-0.16,0.00
2011-08-03,88.00,-0.34,-0.38,0.00
2011-08-04,88.00,0.45,0.51,0.00
2011-08-08,87.00,-0.47,-0.54,0.00
2011-08-09,85.00,-1.73,-1.99,0.00
2011-08-10,87.00,1.70,2.01,0.00
2011-08-11,87.00,0.18,0.21,0.00
2011-08-15,87.00,0.21,0.24,0.00
2011-08-16,87.00,0.05,0.06,0.00
2011-08-17,86.00,-0.82,-0.94,0.00
2011-08-18,87.00,0.39,0.45,0.00
2011-08-22,86.00,-0.70,-0.81,0.00
2011-08-23,86.00,-0.03,-0.03,0.00
2011-08-24,86.00,-0.11,-0.13,0.00
2011-08-25,85.00,-0.52,-0.61,0.00
2011-08-29,83.00,0.22,0.27,0.00
2011-08-30,83.00,0.55,0.66,0.00
2011-09-01,84.00,0.44,0.53,0.00
2011-09-05,82.00,-0.68,-0.82,0.00
2011-09-06,81.00,-1.24,-1.51,0.00
2011-09-07,81.00,-0.18,-0.22,0.00
2011-09-08,81.00,-0.47,-0.58,0.00
2011-09-12,80.00,-0.67,-0.83,0.00
2011-09-13,80.00,-0.29,-0.36,0.00
2011-09-14,78.00,-1.78,-2.24,0.00
2011-09-15,78.00,0.46,0.59,0.00
2011-09-19,77.00,-0.32,-0.41,0.00
2011-09-20,78.00,0.71,0.92,0.00
