date,current,point_change,percent_change,turnover
2011-03-25,330.89,-0.61,-0.18,0.00
2011-03-28,313.33,-10.12,-3.13,0.00
2011-03-29,305.45,-7.88,-2.51,0.00
2011-03-30,305.09,-0.36,-0.12,0.00
2011-03-31,314.11,8.98,2.94,0.00
2011-04-04,313.98,-0.13,-0.04,0.00
2011-04-05,311.95,-2.03,-0.65,0.00
2011-04-06,312.05,0.10,0.03,0.00
2011-04-07,314.01,1.96,0.63,0.00
2011-04-11,313.97,-1.70,-0.54,0.00
2011-04-13,322.75,8.78,2.80,0.00
2011-04-18,309.91,-3.00,-0.96,0.00
2011-04-19,307.73,-2.18,-0.70,0.00
2011-04-20,304.88,-2.85,-0.93,0.00
2011-04-21,302.51,-2.37,-0.77,0.00
2011-04-25,300.09,-2.42,-0.80,0.00
2011-04-26,298.79,-1.30,-0.43,0.00
2011-04-27,299.26,0.47,0.16,0.00
2011-04-28,296.87,-2.39,-0.80,0.00
2011-05-02,293.75,-3.12,-1.05,0.00
2011-05-03,290.05,-3.70,-1.26,0.00
2011-05-04,287.08,-2.99,-1.03,0.00
2011-05-05,289.63,2.55,0.89,0.00
2011-05-09,291.07,0.58,0.20,0.00
2011-05-10,297.37,6.30,2.17,0.00
2011-05-11,298.31,0.94,0.32,0.00
2011-05-12,301.11,2.80,0.94,0.00
2011-05-16,310.62,2.88,0.93,0.00
2011-05-18,305.64,-4.98,-1.60,0.00
2011-05-19,304.48,-1.16,-0.38,0.00
2011-05-23,302.19,-1.40,-0.46,0.00
2011-05-24,303.10,0.91,0.30,0.00
2011-05-25,303.97,0.87,0.29,0.00
2011-05-26,304.74,0.77,0.25,0.00
2011-05-30,305.88,1.14,0.37,0.00
2011-05-31,298.22,-7.66,-2.50,0.00
2011-06-01,295.33,-2.89,-0.97,0.00
2011-06-02,292.00,-3.33,-1.13,0.00
2011-06-06,279.11,-6.12,-2.15,0.00
2011-06-07,271.34,-7.77,-2.78,0.00
2011-06-08,264.76,-6.62,-2.44,0.00
2011-06-09,259.67,-5.09,-1.92,0.00
2011-06-13,248.82,-6.24,-2.45,0.00
2011-06-14,242.72,-6.10,-2.45,0.00
2011-06-15,233.41,-9.31,-3.84,0.00
2011-06-16,248.44,14.43,6.17,0.00
2011-06-20,284.45,17.96,6.74,0.00
2011-06-21,303.62,19.17,6.74,0.00
2011-06-23,326.81,23.19,7.64,0.00
2011-06-27,286.53,-23.37,-7.54,0.00
2011-06-29,291.28,4.75,1.66,0.00
2011-06-30,289.94,-1.34,-0.46,0.00
2011-07-04,288.98,0.52,0.18,0.00
2011-07-05,296.24,7.26,2.51,0.00
2011-07-06,301.46,5.22,1.76,0.00
2011-07-07,300.40,-1.29,-0.43,0.00
2011-07-11,308.53,2.21,0.72,0.00
2011-07-12,313.43,4.90,1.59,0.00
2011-07-13,320.77,7.34,2.34,0.00
2011-07-14,328.71,7.94,2.47,0.00
2011-07-18,337.69,-12.11,-3.46,0.00
2011-07-19,345.08,7.39,2.19,0.00
2011-07-20,351.55,6.47,1.87,0.00
2011-07-21,351.08,-0.47,-0.13,0.00
2011-07-25,330.08,-7.05,-2.09,0.00
2011-07-26,325.15,-4.93,-1.50,0.00
2011-07-27,335.63,10.48,3.22,0.00
2011-07-28,333.23,-2.40,-0.72,0.00
2011-08-01,327.09,-0.89,-0.27,0.00
2011-08-02,326.14,-0.95,-0.29,0.00
2011-08-03,323.94,-2.20,-0.67,0.00
2011-08-04,324.23,0.30,0.09,0.00
2011-08-08,318.64,-4.11,-1.27,0.00
2011-08-09,310.36,-7.77,-2.44,0.00
2011-08-10,319.57,9.21,2.97,0.00
2011-08-11,321.03,1.46,0.46,0.00
2011-08-15,322.34,1.31,0.41,0.00
2011-08-16,320.94,-1.40,-0.43,0.00
2011-08-17,317.81,-3.13,-0.97,0.00
2011-08-18,321.67,3.64,1.15,0.00
2011-08-22,317.27,-4.40,-1.37,0.00
2011-08-23,316.78,-0.49,-0.15,0.00
2011-08-24,315.23,-1.55,-0.49,0.00
2011-08-25,312.27,-2.96,-0.94,0.00
2011-08-29,296.79,-0.44,-0.15,0.00
2011-08-30,300.83,4.04,1.36,0.00
2011-09-01,301.02,0.19,0.06,0.00
2011-09-05,293.14,-5.88,-1.97,0.00
2011-09-06,287.52,-5.62,-1.92,0.00
2011-09-07,285.88,-1.64,-0.57,0.00
2011-09-08,282.77,-3.11,-1.09,0.00
2011-09-12,279.20,-3.57,-1.26,0.00
2011-09-13,278.22,-0.98,-0.35,0.00
2011-09-14,268.38,-9.84,-3.54,0.00
2011-09-15,271.75,3.37,1.26,0.00
2011-09-19,268.29,-0.63,-0.23,0.00
2011-09-20,272.95,4.66,1.74,0.00
2011-09-21,275.34,2.42,0.89,0.00
2011-09-22,284.81,9.47,3.44,0.00
2011-09-26,286.38,-1.96,-0.68,0.00
2011-09-27,288.32,1.97,0.69,0.00
2011-09-29,287.89,-0.32,-0.11,0.00
2011-10-10,291.20,1.73,0.60,0.00
2011-10-12,292.54,1.34,0.46,0.00
2011-10-13,292.85,0.31,0.11,0.00
2011-10-17,287.40,-1.92,-0.66,0.00
2011-10-18,285.23,-2.17,-0.75,0.00
2011-10-19,283.61,-1.62,-0.57,0.00
2011-10-20,282.27,-1.34,-0.47,0.00
2011-10-24,280.07,0.16,0.06,0.00
2011-10-25,279.69,-0.38,-0.14,0.00
2011-10-31,283.46,3.30,1.18,0.00
2011-11-02,306.42,22.96,8.10,0.00
2011-11-03,300.92,-5.50,-1.79,0.00
2011-11-08,291.74,-3.74,-1.27,0.00
2011-11-09,286.38,-5.36,-1.84,0.00
2011-11-10,286.30,-0.08,-0.03,0.00
2011-11-14,280.19,-2.55,-0.90,0.00
2011-11-15,277.92,-2.27,-0.81,0.00
2011-11-16,275.88,-2.04,-0.73,0.00
2011-11-17,280.01,4.13,1.50,0.00
2011-11-21,278.00,0.30,0.11,0.00
2011-11-22,276.08,-1.92,-0.69,0.00
2011-11-23,275.83,-0.25,-0.09,0.00
2011-11-24,275.00,-0.83,-0.30,0.00
2011-11-28,273.98,-1.98,-0.71,0.00
2011-12-01,273.57,-0.62,-0.23,0.00
2011-12-05,271.17,-1.05,-0.39,0.00
2011-12-06,270.31,-0.86,-0.32,0.00
2011-12-07,270.15,-1.73,-0.64,0.00
2011-12-08,267.31,-1.11,-0.41,0.00
2011-12-12,259.58,-4.80,-1.81,0.00
2011-12-13,260.40,0.82,0.32,0.00
2011-12-14,264.87,4.47,1.72,0.00
2011-12-15,263.18,-1.69,-0.64,0.00
