date,current,point_change,percent_change,turnover
2011-04-18,266.05,-7.03,-2.58,0.00
2011-04-21,261.08,-4.97,-1.87,0.00
2011-05-16,265.96,4.88,1.87,0.00
2011-05-30,256.11,-9.85,-3.71,0.00
2011-06-06,241.97,-9.34,-3.72,0.00
2011-09-05,241.54,-0.43,-0.18,0.00
2011-09-13,246.08,4.54,1.88,0.00
2011-09-29,250.71,4.63,1.88,0.00
2012-01-10,237.08,-18.17,-7.12,0.00
2012-01-11,220.11,-16.97,-7.15,0.00
2012-02-01,220.11,0.00,0.00,0.00
2012-02-13,220.37,0.26,0.11,0.00
2012-02-27,216.26,-4.11,-1.87,0.00
2012-02-29,226.29,10.03,4.64,0.00
2012-03-19,224.66,2.66,1.20,0.00
2012-03-20,220.37,-4.29,-1.91,0.00
2012-04-03,221.44,0.00,0.00,0.00
2012-04-04,209.62,-11.82,-5.34,0.00
2012-04-05,209.62,0.00,0.00,0.00
2012-04-12,202.02,0.00,0.00,0.00
2012-04-24,194.84,-7.18,-3.55,0.00
2012-04-25,196.19,1.35,0.69,0.00
2012-05-10,189.18,-7.01,-3.57,0.00
2012-05-16,189.18,0.00,0.00,0.00
2012-06-20,191.88,2.70,1.43,0.00
2012-06-26,263.86,-0.93,-0.34,0.00
2012-08-27,177.86,-3.21,-1.77,0.00
2012-08-30,162.83,-8.87,-5.17,0.00
2012-09-12,165.70,2.87,1.76,0.00
2012-09-13,169.40,0.83,0.49,0.00
2012-09-17,172.35,2.95,1.74,0.00
2012-09-18,169.31,-3.04,-1.76,0.00
2012-09-20,171.68,-0.59,-0.34,0.00
2012-12-12,176.32,0.00,0.00,0.00
2012-12-17,173.28,-3.04,-1.72,0.00
2013-01-22,170.33,-2.95,-1.70,0.00
2013-01-23,173.28,2.95,1.73,0.00
2013-01-31,176.24,2.96,1.71,0.00
2013-02-04,179.28,3.04,1.72,0.00
2013-02-05,182.40,3.12,1.74,0.00
2013-02-21,175.99,-6.41,-3.52,0.00
2013-03-05,170.50,-2.53,-1.46,0.00
2013-03-06,167.54,-2.96,-1.74,0.00
2013-03-11,165.01,-2.53,-1.51,0.00
2013-03-20,160.11,-2.78,-1.71,0.00
2013-04-01,161.20,1.09,0.68,0.00
2013-04-09,160.36,-0.84,-0.52,0.00
2013-04-22,162.88,2.52,1.57,0.00
2013-04-23,163.04,0.16,0.10,0.00
2013-04-25,167.94,4.90,3.01,0.00
2013-05-21,170.82,2.88,1.71,0.00
2013-05-23,173.77,2.95,1.73,0.00
2013-07-16,169.36,0.00,0.00,0.00
2013-07-23,172.23,2.87,1.70,0.00
2013-09-05,172.64,0.41,0.24,0.00
2013-11-28,170.86,1.18,0.69,0.00
2014-01-06,168.58,-2.96,-1.72,0.00
2014-01-13,170.44,1.86,1.10,0.00
2014-01-22,171.20,3.72,2.22,0.00
2014-02-03,177.11,5.91,3.45,0.00
2014-02-12,182.52,6.17,3.49,0.00
2014-03-13,179.71,-6.34,-3.40,0.00
2014-03-20,179.71,0.00,0.00,0.00
2014-03-26,182.83,3.12,1.73,0.00
2014-04-17,179.70,-3.13,-1.71,0.00
2014-05-07,182.83,3.13,1.73,0.00
2014-06-04,185.95,3.12,1.71,0.00
2014-06-10,181.81,-1.52,-0.83,0.00
2014-06-11,181.81,0.00,0.00,0.00
2014-06-19,184.85,3.04,1.67,0.00
2014-06-25,187.72,2.87,1.55,0.00
2014-06-26,187.72,0.00,0.00,0.00
2014-07-17,188.42,-0.08,-0.04,0.00
2014-08-14,188.42,0.00,0.00,0.00
2014-08-19,188.42,0.00,0.00,0.00
2014-08-20,188.42,0.00,0.00,0.00
2014-08-21,188.42,0.00,0.00,0.00
2014-09-11,186.81,-1.61,-0.85,0.00
2014-11-20,184.72,-2.09,-1.12,0.00
2014-12-15,181.96,-3.21,-1.73,0.00
2015-01-01,184.32,2.36,1.30,0.00
2015-01-05,185.08,0.76,0.41,0.00
2015-01-13,183.05,-2.03,-1.09,0.00
2015-02-16,190.23,7.18,3.92,0.00
2015-02-18,191.08,0.85,0.45,0.00
2015-03-02,195.70,4.62,2.42,0.00
2015-03-04,196.93,1.23,0.63,0.00
2015-03-30,197.00,0.08,0.04,0.00
2015-04-02,193.63,-3.38,-1.72,0.00
2015-04-06,200.30,3.37,1.71,0.00
2015-04-07,200.81,0.51,0.25,0.00
2015-04-08,204.27,3.46,1.72,0.00
2015-04-09,200.39,-3.88,-1.90,0.00
2015-04-23,206.74,-0.49,-0.24,0.00
2015-05-25,207.96,1.22,0.59,0.00
2015-06-02,216.91,8.95,4.30,0.00
2015-06-04,229.83,12.92,5.96,0.00
2015-06-10,222.48,-3.97,-1.75,0.00
2015-06-11,220.54,-1.94,-0.87,0.00
2015-06-16,218.85,-1.69,-0.77,0.00
2015-06-17,220.54,1.69,0.77,0.00
2015-06-30,216.74,-3.80,-1.72,0.00
2015-07-08,213.11,0.00,0.00,0.00
2015-07-15,205.93,-3.55,-1.69,0.00
2015-07-16,202.39,-3.54,-1.72,0.00
2015-07-22,202.88,0.49,0.24,0.00
2015-07-30,206.34,3.46,1.71,0.00
2015-08-17,206.51,-6.41,-3.01,0.00
2015-09-03,206.99,0.48,0.23,0.00
2015-09-29,207.97,0.98,0.47,0.00
2015-12-15,207.97,0.00,0.00,0.00
2016-01-05,211.43,-0.09,-0.04,0.00
2016-01-06,209.91,-1.52,-0.72,0.00
2016-01-07,198.85,-11.06,-5.27,0.00
2016-01-14,201.38,2.53,1.27,0.00
2016-03-03,828.24,0.00,0.00,0.00
2016-06-06,201.38,0.00,0.00,0.00
2016-06-07,201.38,0.00,0.00,0.00
2016-06-08,201.38,0.00,0.00,0.00
2016-06-13,201.38,0.00,0.00,0.00
2016-06-20,201.38,0.00,0.00,0.00
2016-06-22,201.38,0.00,0.00,0.00
2016-06-27,201.38,0.00,0.00,0.00
2016-06-28,202.79,1.41,0.70,96750.00
2016-06-29,202.79,0.00,0.00,0.00
2016-06-30,202.79,0.00,0.00,0.00
2016-07-04,202.79,0.00,0.00,0.00
2016-07-05,202.79,0.00,0.00,0.00
2016-07-06,202.79,0.00,0.00,0.00
2016-07-11,202.79,0.00,0.00,0.00
2016-07-12,202.79,0.00,0.00,0.00
2016-07-13,202.79,0.00,0.00,0.00
2016-07-14,202.79,0.00,0.00,0.00
2016-07-18,202.79,0.00,0.00,0.00
2016-07-19,202.79,0.00,0.00,0.00
2016-07-20,202.79,0.00,0.00,0.00
2016-07-21,202.79,0.00,0.00,0.00
2016-07-26,202.79,0.00,0.00,0.00
2016-07-27,202.79,0.00,0.00,0.00
2016-07-28,202.79,0.00,0.00,0.00
2016-08-01,202.79,0.00,0.00,0.00
2016-08-02,202.79,0.00,0.00,0.00
2016-08-03,202.79,0.00,0.00,0.00
2016-08-08,202.79,0.00,0.00,0.00
2016-08-09,202.79,0.00,0.00,0.00
2016-08-10,202.79,0.00,0.00,0.00
2016-08-11,202.79,0.00,0.00,0.00
2016-08-16,202.79,0.00,0.00,0.00
2016-08-17,202.79,0.00,0.00,0.00
2016-08-22,202.79,0.00,0.00,0.00
2016-08-23,202.79,0.00,0.00,0.00
2016-08-24,202.79,0.00,0.00,0.00
2016-08-29,202.79,0.00,0.00,0.00
2016-08-30,202.79,0.00,0.00,0.00
2016-08-31,202.79,0.00,0.00,0.00
2016-09-01,202.79,0.00,0.00,0.00
2016-09-05,202.79,0.00,0.00,0.00
2016-09-06,202.79,0.00,0.00,0.00
