date,current,point_change,percent_change,turnover
2018-01-01,6102.94,26.87,0.44,29232500.00
2018-07-17,6125.34,-74.11,-1.20,17945200.00
2018-07-18,6057.69,-67.65,-1.10,22292000.00
2018-07-19,6014.14,-43.55,-0.72,10738100.00
2018-07-23,5998.72,54.86,0.92,9386720.00
2018-07-24,6019.33,20.61,0.34,12392500.00
2018-07-25,5991.26,-28.07,-0.47,8889700.00
2018-07-26,5942.18,-49.08,-0.82,16015900.00
2018-07-30,5974.34,-20.51,-0.34,9139680.00
2018-07-31,5946.73,-27.61,-0.46,11022800.00
2018-08-01,5975.57,28.84,0.48,18292400.00
2018-08-02,5949.51,-26.06,-0.44,21869700.00
2018-08-06,5936.42,-16.73,-0.28,11295500.00
2018-08-07,5896.59,-39.83,-0.67,13504300.00
2018-08-08,5874.23,-22.36,-0.38,10895400.00
2018-08-09,5771.40,-102.83,-1.75,32264700.00
2018-08-13,5688.88,110.85,1.99,19875400.00
2018-08-14,5701.89,13.01,0.23,17908600.00
2018-08-15,5831.71,129.82,2.28,21230900.00
2018-08-16,5801.84,-29.87,-0.51,23963400.00
2018-08-20,5661.78,-75.20,-1.31,17331900.00
2018-08-21,5661.27,-0.51,-0.01,8623810.00
2018-08-22,5604.67,-56.60,-1.00,10402800.00
2018-08-23,5566.03,-38.64,-0.69,20766500.00
2018-08-28,5533.12,-31.03,-0.56,23195700.00
2018-08-29,5494.94,-38.18,-0.69,19386700.00
2018-08-30,5521.15,26.21,0.48,21388400.00
2018-09-03,5592.55,72.48,1.31,123288000.00
2018-09-04,5592.01,-0.54,-0.01,38702500.00
2018-09-05,5687.20,95.19,1.70,42622700.00
2018-09-06,5648.38,-38.82,-0.68,36593600.00
2018-09-10,5560.78,-20.18,-0.36,11813700.00
2018-09-11,5579.41,18.63,0.34,17048800.00
2018-09-12,5583.39,3.98,0.07,8160810.00
2018-09-13,5572.21,-11.18,-0.20,22476800.00
2018-09-17,5740.44,119.73,2.13,30367900.00
2018-09-18,5760.05,19.61,0.34,42091500.00
2018-09-20,5680.24,-79.81,-1.39,16899700.00
2018-09-25,5694.13,37.36,0.66,25449200.00
2018-09-26,5724.61,30.48,0.54,40761000.00
2018-09-27,5695.54,-29.07,-0.51,26429300.00
2018-10-01,5597.97,-78.56,-1.38,21224800.00
2018-10-02,5612.59,14.62,0.26,25625400.00
2018-10-03,5575.14,-37.45,-0.67,26595400.00
2018-10-04,5575.69,0.55,0.01,27647500.00
2018-10-08,5516.69,-4.71,-0.09,20615000.00
2018-10-09,5498.06,-18.63,-0.34,18413800.00
2018-10-10,5496.88,-1.18,-0.02,9722790.00
