date,current,point_change,percent_change,turnover
2011-03-25,28.00,-0.07,-0.24,0.00
2011-03-28,27.00,-0.50,-1.83,0.00
2011-03-29,27.00,-0.51,-1.87,0.00
2011-03-30,26.00,-0.14,-0.51,0.00
2011-03-31,27.00,0.52,1.98,0.00
2011-04-04,27.00,-0.01,-0.03,0.00
2011-04-05,27.00,-0.14,-0.51,0.00
2011-04-06,27.00,0.01,0.03,0.00
2011-04-07,27.00,0.18,0.66,0.00
2011-04-11,27.00,-0.08,-0.29,0.00
2011-04-13,28.00,0.65,2.40,0.00
2011-04-18,27.00,-0.18,-0.68,0.00
2011-04-19,27.00,-0.18,-0.66,0.00
2011-04-20,26.00,-0.21,-0.80,0.00
2011-04-21,26.00,-0.10,-0.38,0.00
2011-04-25,26.00,-0.18,-0.69,0.00
2011-04-26,26.00,-0.03,-0.12,0.00
2011-04-27,26.00,-0.11,-0.44,0.00
2011-04-28,26.00,-0.26,-0.99,0.00
2011-05-02,25.00,-0.19,-0.74,0.00
2011-05-03,25.00,-0.23,-0.92,0.00
2011-05-04,25.00,-0.21,-0.83,0.00
2011-05-05,25.00,0.06,0.23,0.00
2011-05-09,25.00,0.01,0.04,0.00
2011-05-10,26.00,0.42,1.65,0.00
2011-05-11,26.00,0.10,0.38,0.00
2011-05-12,26.00,0.16,0.62,0.00
2011-05-16,26.00,0.15,0.58,0.00
2011-05-18,26.00,-0.37,-1.41,0.00
2011-05-19,26.00,-0.12,-0.46,0.00
2011-05-23,26.00,-0.06,-0.23,0.00
2011-05-24,26.00,0.01,0.05,0.00
2011-05-25,26.00,0.12,0.47,0.00
2011-05-26,26.00,0.01,0.03,0.00
2011-05-30,26.00,0.08,0.32,0.00
2011-05-31,25.00,-0.56,-2.17,0.00
2011-06-01,25.00,-0.10,-0.39,0.00
2011-06-02,25.00,-0.22,-0.86,0.00
2011-06-06,24.00,-0.33,-1.34,0.00
2011-06-07,24.00,-0.50,-2.05,0.00
2011-06-08,23.00,-0.52,-2.18,0.00
2011-06-09,23.00,-0.38,-1.64,0.00
2011-06-13,22.00,-0.48,-2.12,0.00
2011-06-14,21.00,-0.65,-2.94,0.00
2011-06-15,21.00,-0.68,-3.16,0.00
2011-06-16,22.00,1.05,5.06,0.00
2011-06-20,24.00,1.43,6.24,0.00
2011-06-23,28.00,1.74,6.72,0.00
2011-06-27,24.00,-1.62,-6.23,0.00
2011-06-29,25.00,0.35,1.42,0.00
2011-06-30,25.00,-0.11,-0.45,0.00
2011-07-04,25.00,0.14,0.59,0.00
2011-07-05,25.00,0.51,2.09,0.00
2011-07-06,25.00,0.31,1.25,0.00
2011-07-07,25.00,-0.09,-0.37,0.00
2011-07-11,26.00,0.18,0.68,0.00
2011-07-12,26.00,0.33,1.29,0.00
2011-07-13,27.00,0.51,1.95,0.00
2011-07-14,27.00,0.62,2.31,0.00
2011-07-18,28.00,-0.74,-2.55,0.00
2011-07-19,29.00,0.48,1.71,0.00
