date,current,point_change,percent_change,turnover
2011-03-25,464.59,-1.87,-0.40,0.00
2011-03-28,460.73,-1.17,-0.25,0.00
2011-03-29,460.73,0.00,0.00,0.00
2011-03-30,456.09,-3.29,-0.72,0.00
2011-03-31,459.80,3.71,0.81,0.00
2011-04-04,458.68,-0.33,-0.07,0.00
2011-04-05,456.72,-1.96,-0.43,0.00
2011-04-06,455.35,-1.37,-0.30,0.00
2011-04-07,455.32,-0.19,-0.04,0.00
2011-04-11,452.29,-2.00,-0.44,0.00
2011-04-13,450.69,-1.60,-0.35,0.00
2011-04-18,450.32,-2.33,-0.51,0.00
2011-04-19,450.07,-0.25,-0.06,0.00
2011-04-20,445.36,-3.47,-0.77,0.00
2011-04-21,443.51,-2.01,-0.45,0.00
2011-04-25,442.94,-1.59,-0.36,0.00
2011-04-26,443.28,0.34,0.08,0.00
2011-04-27,442.68,-0.60,-0.14,0.00
2011-04-28,442.52,-0.16,-0.04,0.00
2011-05-02,430.34,-12.18,-2.75,0.00
2011-05-03,426.83,-3.51,-0.82,0.00
2011-05-04,428.29,1.46,0.34,0.00
2011-05-05,427.44,-0.68,-0.16,0.00
2011-05-09,428.12,-0.06,-0.02,0.00
2011-05-10,425.77,-2.35,-0.55,0.00
2011-05-11,427.25,1.48,0.35,0.00
2011-05-12,424.71,-2.54,-0.60,0.00
2011-05-16,427.37,1.34,0.32,0.00
2011-05-18,425.43,-1.94,-0.45,0.00
2011-05-19,422.84,-3.08,-0.72,0.00
2011-05-23,420.92,-0.11,-0.03,0.00
2011-05-24,421.17,0.25,0.06,0.00
2011-05-25,420.59,-0.58,-0.14,0.00
2011-05-26,421.92,1.33,0.32,0.00
2011-05-30,418.68,-3.24,-0.77,0.00
2011-05-31,419.12,0.44,0.10,0.00
2011-06-01,419.06,-0.35,-0.08,0.00
2011-06-02,419.36,0.30,0.07,0.00
2011-06-06,419.07,-1.13,-0.27,0.00
2011-06-07,416.31,-2.76,-0.66,0.00
2011-06-08,411.29,-5.02,-1.20,0.00
2011-06-09,412.27,0.98,0.24,0.00
2011-06-13,406.34,-4.30,-1.05,0.00
2011-06-14,404.06,-2.28,-0.56,0.00
2011-06-15,397.95,-6.11,-1.51,0.00
2011-06-16,400.63,2.68,0.67,0.00
2011-06-20,409.59,6.85,1.70,0.00
2011-06-21,415.63,6.04,1.47,0.00
2011-06-23,428.22,12.59,3.03,0.00
2011-06-27,434.33,1.40,0.32,0.00
2011-06-29,430.38,-3.95,-0.91,0.00
2011-06-30,426.18,-4.20,-0.98,0.00
2011-07-04,414.34,-5.44,-1.29,0.00
2011-07-05,412.32,-2.02,-0.49,0.00
2011-07-06,411.15,-1.17,-0.28,0.00
2011-07-07,410.18,-0.97,-0.24,0.00
2011-07-11,410.73,-2.01,-0.49,0.00
2011-07-12,409.78,-0.95,-0.23,0.00
2011-07-13,407.62,-2.16,-0.53,0.00
2011-07-14,407.01,-0.61,-0.15,0.00
2011-07-18,411.31,1.11,0.27,0.00
2011-07-19,409.68,-1.63,-0.40,0.00
2011-07-20,417.34,7.66,1.87,0.00
2011-07-21,415.77,-1.57,-0.38,0.00
2011-07-25,414.28,-1.53,-0.37,0.00
2011-07-26,411.81,-2.47,-0.60,0.00
2011-07-27,409.31,-2.50,-0.61,0.00
2011-07-28,408.75,-0.56,-0.14,0.00
2011-08-01,410.93,0.78,0.19,0.00
2011-08-02,419.40,8.31,2.02,0.00
2011-08-03,420.23,0.83,0.20,0.00
2011-08-04,420.50,0.75,0.18,0.00
2011-08-08,418.62,-1.05,-0.25,0.00
2011-08-09,419.99,1.37,0.33,0.00
2011-08-10,421.39,1.40,0.33,0.00
2011-08-11,420.15,-1.24,-0.29,0.00
2011-08-15,420.38,0.23,0.05,0.00
2011-08-16,421.60,1.22,0.29,0.00
2011-08-17,421.23,-0.37,-0.09,0.00
2011-08-18,422.26,1.03,0.25,0.00
2011-08-22,419.48,-2.78,-0.66,0.00
2011-08-23,417.45,-2.03,-0.48,0.00
2011-08-24,417.70,0.25,0.06,0.00
2011-08-25,418.25,0.55,0.13,0.00
2011-08-29,412.64,-2.48,-0.60,0.00
2011-08-30,409.53,-3.11,-0.75,0.00
2011-09-01,411.48,1.95,0.48,0.00
2011-09-05,409.55,-0.99,-0.24,0.00
2011-09-06,407.08,-2.47,-0.60,0.00
2011-09-07,405.79,-1.29,-0.32,0.00
2011-09-08,408.73,2.94,0.72,0.00
2011-09-12,406.46,-2.82,-0.69,0.00
2011-09-13,404.55,-1.91,-0.47,0.00
2011-09-14,404.64,0.09,0.02,0.00
2011-09-15,401.80,-2.84,-0.70,0.00
2011-09-19,399.00,-0.73,-0.18,0.00
2011-09-20,398.73,-0.27,-0.07,0.00
2011-09-21,400.87,1.79,0.45,0.00
2011-09-22,402.03,1.16,0.29,0.00
2011-09-26,404.87,1.20,0.30,0.00
2011-09-27,404.24,-0.63,-0.16,0.00
2011-09-29,408.05,3.81,0.94,0.00
2011-10-10,406.29,0.85,0.21,0.00
2011-10-12,403.53,-2.76,-0.68,0.00
2011-10-13,402.10,-1.43,-0.36,0.00
2011-10-17,400.55,-1.17,-0.29,0.00
2011-10-18,397.73,-2.82,-0.70,0.00
2011-10-19,398.02,0.29,0.07,0.00
2011-10-20,394.26,-3.76,-0.94,0.00
2011-10-24,397.33,1.85,0.47,0.00
2011-10-25,398.14,0.81,0.20,0.00
2011-10-31,402.24,3.95,0.99,0.00
2011-11-02,408.21,5.97,1.48,0.00
2011-11-03,409.54,0.76,0.19,0.00
2011-11-08,411.55,0.16,0.04,0.00
2011-11-09,410.98,-0.57,-0.14,0.00
2011-11-10,416.46,5.48,1.33,0.00
2011-11-14,414.30,-3.01,-0.72,0.00
2011-11-15,408.91,-5.39,-1.30,0.00
2011-11-16,410.50,1.59,0.39,0.00
2011-11-17,410.63,0.13,0.03,0.00
2011-11-21,407.29,-0.68,-0.17,0.00
2011-11-22,408.60,1.31,0.32,0.00
2011-11-23,406.08,-2.52,-0.62,0.00
2011-11-24,404.70,-1.38,-0.34,0.00
2011-11-28,402.67,-2.32,-0.57,0.00
2011-12-01,399.26,-0.23,-0.06,0.00
2011-12-05,398.86,0.80,0.20,0.00
2011-12-06,398.61,-0.25,-0.06,0.00
2011-12-07,392.59,-6.02,-1.51,0.00
2011-12-08,391.74,-0.91,-0.23,0.00
2011-12-12,387.12,-0.80,-0.21,0.00
2011-12-13,386.96,-0.16,-0.04,0.00
2011-12-14,386.89,-0.07,-0.02,0.00
2011-12-15,383.53,-3.36,-0.87,0.00
2011-12-19,381.64,-1.30,-0.34,0.00
2011-12-20,385.61,3.97,1.04,0.00
2011-12-21,389.55,3.94,1.02,0.00
2011-12-22,387.85,-1.70,-0.44,0.00
