date,current,point_change,percent_change,turnover
2017-11-01,1832.52,-12.93,-0.70,40494600.00
2017-11-02,1818.26,-14.26,-0.78,44623800.00
2017-11-06,1776.45,-11.22,-0.63,59516100.00
2017-11-07,1758.78,-17.67,-0.99,51459200.00
2017-11-08,1737.20,-21.58,-1.23,55760000.00
2017-11-09,1738.50,1.30,0.07,79774304.00
2017-11-13,1750.77,10.99,0.63,51062200.00
2017-11-14,1809.62,58.85,3.36,72696704.00
2017-11-15,1791.48,-18.14,-1.00,85170704.00
2017-11-16,1777.70,-13.78,-0.77,45789700.00
2017-11-20,1742.07,-10.76,-0.61,32349900.00
2017-11-21,1745.36,3.29,0.19,32723400.00
2017-11-22,1751.96,6.60,0.38,0.00
2017-11-23,1776.35,24.39,1.39,65635300.00
2017-11-27,1802.08,-2.79,-0.15,88553504.00
2017-11-28,1815.95,13.87,0.77,114906000.00
2017-11-29,1857.57,41.62,2.29,136644000.00
2017-11-30,1863.64,6.07,0.33,94417504.00
2017-12-04,1843.58,-20.06,-1.08,75419696.00
2017-12-05,1850.19,6.61,0.36,35471100.00
2017-12-06,1874.77,24.58,1.33,77257696.00
2017-12-11,1848.96,-5.47,-0.30,41989000.00
2017-12-12,1828.33,-20.63,-1.12,51899600.00
2017-12-13,1842.89,14.56,0.80,31193700.00
2017-12-14,1845.48,2.59,0.14,72623400.00
2017-12-18,1830.98,-2.04,-0.11,74447000.00
2017-12-19,1810.75,-20.23,-1.10,51964800.00
2017-12-20,1803.13,-7.62,-0.42,42607500.00
2017-12-21,1782.08,-21.05,-1.17,42849900.00
2017-12-26,1746.06,-32.67,-1.84,55520800.00
2017-12-27,1722.34,-23.72,-1.36,50564500.00
2017-12-28,1719.25,-3.09,-0.18,53549600.00
2018-01-01,1751.20,69.47,4.13,41084200.00
2018-01-02,1742.94,-8.26,-0.47,74621200.00
2018-01-03,1716.26,-26.68,-1.53,50646500.00
2018-01-04,1724.54,8.28,0.48,41762000.00
2018-01-08,1747.99,2.85,0.16,49410300.00
2018-01-09,1765.94,17.95,1.03,41413000.00
2018-01-10,1741.97,-23.97,-1.36,47036800.00
2018-01-16,1697.97,-17.70,-1.03,33859400.00
2018-01-17,1701.98,4.01,0.24,29166200.00
2018-01-22,1676.52,-13.29,-0.79,56288400.00
2018-01-23,1667.31,-9.21,-0.55,35202900.00
2018-01-24,1664.69,-2.62,-0.16,22640700.00
2018-01-25,1687.12,22.43,1.35,35981200.00
2018-01-29,1678.09,-3.58,-0.21,21591600.00
2018-01-31,1686.13,8.04,0.48,22153700.00
2018-02-01,1698.54,12.41,0.74,32898200.00
2018-02-05,1677.73,-17.38,-1.02,32972000.00
2018-02-06,1670.18,-7.55,-0.45,27868200.00
2018-02-07,1654.27,-15.91,-0.95,30539500.00
2018-02-08,1661.72,7.45,0.45,37521700.00
2018-02-12,1642.28,-6.70,-0.41,26399700.00
2018-02-14,1662.83,20.55,1.25,28238100.00
2018-02-15,1725.74,62.91,3.78,85308304.00
2018-02-20,1657.91,-37.51,-2.21,32974600.00
2018-02-21,1654.01,-3.90,-0.24,16511800.00
2018-02-22,1649.53,-4.48,-0.27,35663800.00
2018-02-26,1606.47,-30.16,-1.84,45226400.00
2018-02-27,1607.45,0.98,0.06,44854900.00
2018-02-28,1584.92,-22.53,-1.40,47032100.00
2018-03-05,1482.15,-43.76,-2.87,44295900.00
2018-03-06,1501.16,19.01,1.28,47574300.00
2018-03-07,1526.80,25.64,1.71,45392900.00
2018-03-12,1461.98,-19.30,-1.30,25558100.00
2018-03-13,1457.69,-4.29,-0.29,19315000.00
2018-03-14,1466.26,8.57,0.59,17719100.00
2018-03-15,1468.75,2.49,0.17,22813600.00
2018-03-19,1447.48,-10.35,-0.71,16028900.00
2018-03-20,1427.12,-20.36,-1.41,30738500.00
2018-03-21,1378.60,-48.52,-3.40,44011400.00
2018-03-22,1359.35,-19.25,-1.40,39202500.00
2018-03-26,1283.83,-75.52,-5.56,20928600.00
2018-03-27,1349.33,65.50,5.10,41354300.00
2018-03-28,1320.24,-29.09,-2.16,50190300.00
2018-03-29,1340.23,19.99,1.51,39146200.00
2018-04-02,1308.73,-5.26,-0.40,13937100.00
2018-04-03,1310.87,2.14,0.16,25640600.00
2018-04-04,1373.93,63.06,4.81,38888200.00
2018-04-05,1409.38,35.45,2.58,79202000.00
2018-04-09,1488.87,-6.17,-0.41,127840000.00
2018-04-10,1462.41,-26.46,-1.78,45124500.00
2018-04-11,1467.13,4.72,0.32,36334700.00
2018-04-12,1477.84,10.71,0.73,61401600.00
2018-04-16,1561.69,72.11,4.84,85755800.00
2018-04-17,1681.80,120.11,7.69,206182000.00
2018-04-18,1687.19,5.39,0.32,157236992.00
2018-04-19,1701.45,14.26,0.85,140780000.00
2018-04-23,1770.90,-30.78,-1.71,281878016.00
2018-04-24,1760.39,-10.51,-0.59,133471000.00
2018-04-25,1742.07,-18.32,-1.04,118081000.00
2018-04-26,1698.81,-43.26,-2.48,102864000.00
2018-05-02,1741.10,46.36,2.74,81861000.00
2018-05-03,1757.65,16.55,0.95,179791008.00
2018-05-07,1728.21,-21.90,-1.25,64604800.00
2018-05-08,1763.97,35.76,2.07,71183000.00
2018-05-09,1757.34,-6.63,-0.38,86030200.00
2018-05-10,1742.93,-14.41,-0.82,72387104.00
2018-05-14,1720.34,-22.59,-1.30,66450400.00
2018-05-15,1714.72,-5.62,-0.33,33014600.00
2018-05-16,1737.56,22.84,1.33,54801100.00
2018-05-17,1733.54,-4.02,-0.23,78628400.00
2018-05-21,1777.26,35.82,2.06,85067200.00
2018-05-22,1783.01,5.75,0.32,107175000.00
2018-05-23,1788.58,5.57,0.31,99888704.00
2018-05-24,1754.60,-33.98,-1.90,138648000.00
2018-05-28,1785.74,59.06,3.42,92266800.00
2018-05-29,1770.26,-15.48,-0.87,74134496.00
2018-05-30,1774.64,4.38,0.25,134175000.00
2018-05-31,1757.07,-17.57,-0.99,83678600.00
2018-06-04,1670.87,-31.13,-1.83,95833504.00
2018-06-06,1705.85,34.98,2.09,46112500.00
2018-06-07,1670.31,-35.54,-2.08,70058600.00
2018-06-11,1649.24,22.89,1.41,72090800.00
2018-06-12,1648.08,-1.16,-0.07,53088900.00
2018-06-13,1653.33,5.25,0.32,43900600.00
2018-06-14,1666.70,13.37,0.81,55247000.00
2018-06-18,1654.64,8.70,0.53,47697000.00
2018-06-19,1640.35,-14.29,-0.86,29085800.00
2018-06-20,1630.24,-10.11,-0.62,49016500.00
2018-06-21,1623.69,-6.55,-0.40,36002700.00
2018-06-25,1607.54,-13.75,-0.85,38050500.00
2018-06-26,1575.37,-32.17,-2.00,36917000.00
2018-06-27,1579.81,4.44,0.28,21273200.00
2018-06-28,1579.32,-0.49,-0.03,19564300.00
2018-07-02,1548.34,-5.24,-0.34,25782600.00
2018-07-03,1538.80,-9.54,-0.62,23620800.00
2018-07-04,1551.56,12.76,0.83,44701300.00
2018-07-05,1637.46,85.90,5.54,92284896.00
2018-07-09,1596.05,-21.89,-1.35,40898900.00
2018-07-10,1595.52,-0.53,-0.03,51273500.00
2018-07-11,1623.97,28.45,1.78,109227000.00
2018-07-12,1587.91,-36.06,-2.22,79021800.00
2018-07-16,1607.08,12.62,0.79,14160900.00
2018-07-17,1593.76,-13.32,-0.83,21251800.00
2018-07-18,1577.84,-15.92,-1.00,23726700.00
2018-07-19,1561.61,-16.23,-1.03,26633700.00
2018-07-23,1564.13,35.45,2.32,27916100.00
2018-07-24,1563.43,-0.70,-0.05,41208300.00
2018-07-25,1556.66,-6.77,-0.43,24086900.00
2018-07-26,1541.50,-15.16,-0.97,30764700.00
2018-07-30,1539.95,-0.05,0.00,18840200.00
2018-07-31,1534.34,-5.61,-0.36,22958400.00
2018-08-01,1541.72,7.38,0.48,20559600.00
2018-08-02,1531.00,-10.72,-0.70,23665500.00
2018-08-06,1537.57,6.36,0.42,32577400.00
2018-08-07,1526.76,-10.81,-0.70,50036900.00
2018-08-08,1525.35,-1.41,-0.09,30229700.00
2018-08-09,1508.88,-16.47,-1.08,37017100.00
2018-08-13,1492.37,15.02,1.02,16778600.00
2018-08-14,1507.97,15.60,1.05,28249000.00
2018-08-15,1543.25,35.28,2.34,51521100.00
2018-08-16,1529.47,-13.78,-0.89,51628500.00
2018-08-20,1494.35,-11.69,-0.78,25862200.00
2018-08-21,1484.02,-10.33,-0.69,23385700.00
2018-08-22,1483.64,-0.38,-0.03,11220000.00
2018-08-23,1479.23,-4.41,-0.30,22245400.00
2018-08-28,1469.53,2.92,0.20,15142500.00
2018-08-29,1459.90,-9.63,-0.66,22440700.00
2018-08-30,1473.93,14.03,0.96,19162800.00
2018-09-03,1487.37,3.30,0.22,42609200.00
2018-09-04,1487.14,-0.23,-0.02,23374800.00
