date,open,high,low,ltp,percent_change,qty,turnover
2026-05-04,994.0,1020.0,980.0,1000.0,-2.34,51713,51137885.8
2026-04-30,975.1,1045.0,956.6,1024.0,1.89,94735,94168284.9
2026-04-29,1060.0,1065.2,995.1,1005.0,-5.19,119051,120424348.7
2026-04-28,1191.0,1191.0,1038.0,1060.0,-7.67,189770,206007502.0
2026-04-27,1195.0,1225.0,1148.0,1148.0,-3.93,105359,124011852.6
2026-04-24,1180.0,1225.0,1111.0,1195.0,1.27,111477,128612529.4
2026-04-23,1237.0,1237.0,1142.0,1180.0,-4.61,188547,221559006.3
2026-04-22,1400.0,1404.0,1208.1,1237.0,-10.75,228942,285967762.7
2026-04-21,1323.0,1450.6,1286.0,1386.0,9.88,159134,222342401.2
2026-04-20,1151.7,1261.4,1151.7,1261.4,15.0,292797,360159585.9
2026-04-17,1017.1,1096.9,1017.1,1096.9,10.0,11840,12982146.0
2026-04-16,924.7,997.2,924.7,997.2,9.99,5250,5233520.0
2026-04-15,840.6,906.6,840.6,906.6,10.0,3760,3405876.0
2026-04-13,764.2,824.2,764.2,824.2,10.0,4160,3424796.0
2026-04-10,694.8,749.3,694.8,749.3,10.0,2140,1602162.0
2026-04-09,610.7,681.2,610.7,681.2,10.0,2390,1625715.0
2026-04-08,574.2,619.3,574.2,619.3,10.0,1220,754437.0
2026-04-07,513.7,563.0,513.7,563.0,9.98,1090,611752.0
2026-04-06,474.7,511.9,474.7,511.9,9.99,1310,668929.0
2026-04-05,423.1,465.4,423.1,465.4,10.0,960,444682.0
2026-04-02,381.7,423.1,381.7,423.1,9.98,590,247484.0
2026-04-01,356.0,384.7,356.0,384.7,9.98,450,172111.0
2026-03-31,316.0,349.8,316.0,349.8,10.0,370,128366.0
2026-03-30,289.1,318.0,289.1,318.0,10.0,470,147731.0
2026-03-29,264.6,289.1,264.6,289.1,9.97,410,117349.0
2026-03-26,237.3,262.9,237.3,262.9,10.0,208,53562.2
